Date,Open,High,Low,Close,Adj Close,Volume
2019-11-20,3.690000,3.860000,3.590000,3.620000,3.620000,20614600
2019-11-21,3.670000,3.760000,3.510000,3.710000,3.710000,22748100
2019-11-22,3.750000,3.810000,3.620000,3.670000,3.670000,13507400
2019-11-25,3.630000,3.800000,3.620000,3.760000,3.760000,12561600
2019-11-26,3.770000,3.810000,3.650000,3.710000,3.710000,14928400
2019-11-27,3.690000,3.830000,3.670000,3.810000,3.810000,8614300
2019-11-29,3.760000,3.800000,3.630000,3.650000,3.650000,8758700
2019-12-02,3.710000,3.760000,3.670000,3.710000,3.710000,9707500
2019-12-03,3.680000,3.690000,3.570000,3.580000,3.580000,15281000
2019-12-04,3.700000,3.830000,3.670000,3.730000,3.730000,9651100
2019-12-05,3.790000,3.920000,3.750000,3.810000,3.810000,14651200
2019-12-06,3.850000,4.140000,3.850000,4.110000,4.110000,13667200
2019-12-09,4.070000,4.290000,4.070000,4.260000,4.260000,10549500
2019-12-10,4.290000,4.350000,4.210000,4.270000,4.270000,9984700
2019-12-11,4.240000,4.380000,4.220000,4.230000,4.230000,7362500
2019-12-12,4.240000,4.450000,4.220000,4.440000,4.440000,9373100
2019-12-13,4.470000,4.540000,4.220000,4.250000,4.250000,9697800
2019-12-16,4.310000,4.540000,4.310000,4.400000,4.400000,18700000
2019-12-17,4.450000,4.750000,4.410000,4.740000,4.740000,13274900
2019-12-18,4.710000,4.760000,4.610000,4.710000,4.710000,13335000
2019-12-19,4.660000,4.770000,4.650000,4.720000,4.720000,12016100
2019-12-20,4.700000,4.780000,4.420000,4.550000,4.550000,46939400
2019-12-23,4.670000,4.910000,4.640000,4.830000,4.830000,19254700
2019-12-24,4.900000,4.920000,4.610000,4.670000,4.670000,13860700
2019-12-26,4.740000,4.830000,4.690000,4.740000,4.740000,9521600
2019-12-27,4.740000,4.820000,4.690000,4.710000,4.710000,12315100
2019-12-30,4.770000,4.890000,4.710000,4.820000,4.820000,19535800
2019-12-31,4.780000,4.970000,4.710000,4.830000,4.830000,11915700
2020-01-02,4.920000,4.950000,4.650000,4.700000,4.700000,15272600
2020-01-03,4.960000,4.980000,4.700000,4.830000,4.830000,21107500
2020-01-06,4.900000,4.920000,4.780000,4.880000,4.880000,13888900
2020-01-07,4.840000,4.870000,4.630000,4.730000,4.730000,20048100
